City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Ocos,GT,73.4,clear sky,14.51,-92.19,La Bajadita
425,Bol,TD,74.5,clear sky,13.46,14.71,Hotel 3 Etoiles
427,Adrar,MR,77.86,overcast clouds,20.5,-10.07,
443,Palmas,BR,72.0,overcast clouds,-10.21,-48.36,Hotel Lago da Palma
447,Diffa,NE,77.14,clear sky,13.32,12.61,ProDAF/Diffa
459,Ubatuba,BR,70.61,scattered clouds,-23.43,-45.07,Hotel Pousada Dellamares
470,Pisco,PE,75.2,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
473,Bandarbeyla,SO,77.77,broken clouds,9.49,50.81,REER XOOSHLE GROUP
476,Najran,SA,78.8,clear sky,17.49,44.13,محمد هادي ال فطيح
488,Gao,ML,79.43,clear sky,16.64,1.64,
490,Santiago De Cao,PE,71.6,mist,-7.96,-79.24,Fam. Palomino Gamarra
491,Manacapuru,BR,75.2,overcast clouds,-3.3,-60.62,Novo Hotel
493,Paita,PE,79.05,overcast clouds,-5.09,-81.11,Hotel Náutico de Paita
498,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
500,Hirara,JP,75.2,few clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
508,Guarapari,BR,77.0,broken clouds,-20.67,-40.5,Hotel Porto do Sol
530,Biltine,TD,74.48,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
534,Kawalu,ID,77.52,moderate rain,-7.38,108.21,KOSAN UNGU UNSIK
541,Aquiraz,BR,78.8,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
543,Porto Nacional,BR,72.86,overcast clouds,-10.71,-48.42,Vila Real Hotel
